f1,f2,f3,f4,f5,f6,f7,f8,class
18.6938,-9.34837,12.8983,-1.89802,0.143904,0.796471,0.00453939,-1.28005,1
7.40583,1.88776,-2.39533,2.19202,1.36576,0.581945,-0.544852,0.374119,1
12.8343,2.32821,-9.14673,5.81204,-1.52563,-0.288484,1.47636,0.369797,1
12.2788,-3.67259,8.05642,4.06542,0.788256,-0.845096,-2.65389,0.931894,1
22.7834,-4.66582,9.28041,10.8297,0.471507,1.98348,0.407928,-0.43039,1
-0.00965639,5.6506,-11.1659,1.87536,-0.223302,-1.32719,-0.502302,-1.02977,1
9.78369,2.78452,-7.11469,7.04981,-1.10059,-1.52001,0.569552,-0.565955,1
7.49943,0.862678,1.63277,7.17047,0.662588,0.123094,0.744881,-0.0916459,1
20.6295,-6.32207,1.99874,2.52402,-1.43665,1.26057,-1.34972,-0.691555,1
8.74075,-0.114583,7.42971,12.1699,0.941032,0.491442,-0.447607,-0.179292,1
10.6749,2.18027,-3.46533,5.8129,0.564384,0.0901598,-0.389276,-2.2004,1
15.2964,3.33242,5.74555,19.5564,-1.4303,-0.984283,0.545307,0.0784077,1
3.83678,3.37102,-4.2185,6.13129,0.115952,0.433822,-1.00303,-0.89085,1
15.6282,-4.56721,4.89167,2.00856,0.648973,0.512116,1.7867,0.0578082,1
7.83014,4.65349,-11.7697,4.26861,-0.116043,0.720952,0.0152996,-1.20791,1
8.76843,1.39005,-0.802215,3.9342,-1.09184,1.32005,0.294787,-0.281861,1
21.2026,-4.17087,10.1102,14.0371,0.97306,-0.979516,0.0968142,0.480673,1
3.20176,3.66445,-12.0093,-1.06957,1.33831,-0.543681,-0.232623,0.769262,1
13.7049,-0.913477,12.0201,8.95205,-0.281997,0.109193,-0.412746,-1.25629,1
13.7433,-0.74064,11.0354,7.42342,0.489665,0.921003,-0.727059,-0.718877,1
13.6431,-2.40505,2.63071,3.30539,0.523703,-1.22933,-0.670223,0.41555,1
15.2584,-5.96278,13.1625,1.76461,2.09532,0.826124,0.172867,-0.420641,1
5.6326,1.91332,-1.31753,8.52814,0.874649,-1.8178,1.10072,-0.120108,1
20.5189,-7.56729,13.4262,2.76568,-0.216842,-0.445504,-1.92855,1.33607,1
0.20172,6.21379,-4.90266,10.8924,0.0210394,-0.473254,-0.128669,-0.475139,1
10.3329,-0.904436,-4.69838,0.69229,0.215879,1.17627,-0.236378,-0.382538,1
14.8074,-0.85998,5.90128,7.92181,1.68956,-1.2014,-1.29437,1.17081,1
4.70995,0.755188,-3.59173,-0.266473,1.31587,0.582437,-1.22955,-1.18956,1
1.49204,3.83507,-10.2319,1.05004,1.06961,1.20012,-0.0816291,-1.2927,1
13.1831,-1.98481,7.81718,9.95538,0.33966,-0.589457,-0.290835,0.0392437,1
11.8866,-4.91601,1.9639,-0.440597,1.05383,1.21772,-0.38293,1.44847,1
25.4066,-8.71564,11.0166,1.62388,-1.9034,1.85432,0.459603,-1.52812,1
0.455162,1.86312,-1.09095,-0.130801,-0.898857,-0.0926144,0.276178,-0.162754,1
-3.58831,3.46156,-8.24657,-3.48079,0.286606,-0.182724,-0.216317,1.0207,1
-2.6565,8.48472,-13.7909,4.34552,0.0404012,-1.98133,-0.650078,2.06339,1
9.00816,-0.314258,-3.78303,1.70491,1.1378,-0.327677,-0.837502,-0.60662,1
11.7287,0.168756,4.21824,9.51204,-0.0781109,-0.601499,-0.158399,-0.169543,1
24.9011,-1.393,18.6011,20.8674,2.13099,1.26466,-0.394426,1.10104,1
13.0664,-4.32088,4.8208,0.234717,-1.42849,-0.542172,-0.418137,-0.214615,1
2.23612,3.26307,-3.28241,6.17832,0.42937,-1.27753,-0.291769,0.305456,1
-7.63253,1.90941,6.78497,0.567775,0.441033,1.40888,-0.949018,-0.630756,1
1.87149,11.2004,-0.0799914,1.15402,0.0318112,-0.334388,-0.808111,-0.38354,1
-6.29858,5.38027,7.79586,0.791638,0.43398,0.10596,-0.891416,-0.232015,1
0.24651,5.94869,-0.820547,0.503042,1.59846,1.68475,0.0693496,0.0750265,1
-4.73015,4.29987,3.91746,3.29124,-0.412555,-1.31217,1.15254,-0.266575,1
-2.46169,3.22508,2.75725,1.26321,-1.40637,-0.544008,1.67074,0.476466,1
-14.0456,-1.84927,10.2221,-3.91858,0.719865,-0.94715,0.572144,-0.0714839,1
-1.04825,8.00625,-1.20026,-5.04827,-0.66894,1.11264,-1.83378,-0.186382,1
4.44324,7.26185,-0.569198,2.67675,0.562279,-1.82907,-1.22704,-0.494087,1
-4.52379,1.26323,5.68142,5.52385,0.2986,-0.0254344,0.326326,1.64333,1
2.33264,10.1328,4.54047,2.89612,1.06093,0.431334,-0.669692,-1.65997,1
3.21454,8.9785,2.24505,0.377102,0.256165,0.428812,0.693007,-0.0415596,1
3.21093,8.23814,5.84164,5.58496,1.18683,-0.463411,0.239007,0.664985,1
0.507152,6.98885,-1.50831,2.33443,0.77365,-0.673187,0.816119,0.244703,1
-2.21803,5.77369,2.65198,6.40646,-0.901397,0.00356271,0.199742,-1.18299,1
-1.0387,5.0708,8.23458,-0.00669701,1.28431,-1.09337,1.36413,-0.242538,1
5.87447,8.63473,-2.05833,4.19478,-0.761138,-0.378028,-1.03997,-0.980797,1
-0.937395,0.947185,3.646,4.20352,0.884135,0.250406,1.26358,1.77786,1
4.98214,11.6091,3.01406,4.36842,0.354292,-3.35853,-0.340599,1.76279,1
5.5142,7.5336,1.42213,8.85115,-0.302107,0.889691,1.43013,-0.102854,1
13.3512,17.1575,-9.47642,1.7759,-0.314463,0.50212,-1.30091,0.349756,1
-0.406576,7.75068,1.65678,-2.62042,-1.03124,-0.36851,0.686529,-0.588341,1
-1.52672,-1.04336,1.39158,2.71609,-0.584291,-2.37195,-0.912088,0.48381,1
2.6164,7.12918,5.08313,-1.46756,-0.30354,-0.344246,-1.21519,-0.652088,1
3.12597,4.66062,3.67531,-0.233322,0.453692,-2.04937,-0.594289,1.37389,1
0.655687,8.86223,4.9976,4.10644,2.24663,-1.11833,-0.656606,-0.299183,1
-3.39773,6.42335,4.12363,1.72277,-1.27016,-0.275086,-0.378825,1.72949,1
-1.94565,3.60721,3.30281,-0.353,1.87402,1.52425,0.725186,1.79577,1
0.575221,3.97664,2.40181,1.37282,1.51111,0.173256,-0.185954,0.689612,1
-0.358407,7.6031,-0.668964,-1.28193,0.260626,-0.280399,0.811409,0.0659103,1
10.5252,6.09005,-3.61596,0.857667,-1.61677,0.00463346,1.08397,0.532937,1
-2.20622,5.08023,4.97718,4.07675,0.334351,-0.484639,-0.537275,-0.527258,1
4.89266,12.7028,-2.22533,4.58908,-0.962183,-1.2372,0.967873,-1.84861,1
4.01786,4.20447,-0.610856,9.13161,0.134287,0.0399942,-1.33899,-0.0331592,1
6.58169,10.6205,3.16084,5.25033,-1.51201,-0.317533,-1.21853,-0.529451,1
1.06727,-1.40886,0.892293,4.17791,-1.43728,0.33602,-2.54237,1.27228,1
8.00735,11.5418,1.96991,2.46518,-1.37331,-0.348458,-0.24209,0.048472,1
0.755184,9.66764,0.473931,-1.72765,-1.1499,-1.25015,1.31027,0.975626,1
-0.112875,3.51925,1.03177,-1.977,-0.219217,-1.934,0.675572,0.384137,1
-6.24119,5.11217,3.67753,5.70535,1.00473,-1.23883,-0.0280079,0.0590644,1
4.8331,7.67033,-1.36157,-1.643,1.92111,0.0275416,-0.418898,-2.86844,1
-0.670583,4.54197,-0.784077,3.95043,-0.461345,-1.29396,0.738157,-1.57541,1
1.93204,11.419,0.930048,4.61543,1.32405,-0.188293,-0.60852,0.365129,1
7.38031,9.6276,-2.45342,-0.98009,0.616027,1.6547,-0.577194,1.4215,1
0.0490786,2.25511,6.42512,1.64239,-1.58897,1.05326,1.69562,0.543209,1
-1.86001,8.21233,2.82221,-2.42364,0.0433053,1.45987,-1.05874,0.77855,1
-3.47147,5.57105,5.2678,0.818108,-0.422105,1.57544,1.20455,-0.665841,1
5.06107,9.31643,1.53216,-1.44526,-1.75817,-1.24537,-0.575686,0.11034,1
-3.16547,2.87875,4.59707,0.368712,-0.613415,-0.915987,-1.59348,0.0428089,1
5.27736,12.6824,0.222995,2.44787,-0.543985,1.07191,1.39794,0.387344,1
-0.800469,6.64547,1.10913,-3.51599,0.128757,-2.2058,1.38834,0.00652856,1
-1.34279,5.39527,2.81342,4.00484,-0.224049,0.551222,-2.78455,-0.467384,1
8.70109,13.0725,0.533305,6.07656,-1.18168,0.840348,1.56009,-2.33941,1
-3.53751,6.70063,5.39583,1.96694,-0.0683244,-0.521758,-1.25943,-2.92626,1
-6.60061,3.62544,6.73963,-1.49476,-0.230597,-0.479398,-0.785069,-0.0143191,1
-3.90884,6.24119,7.23613,-6.13736,-0.0510655,-1.29741,-0.812107,-1.23267,1
0.847581,5.72349,-1.60615,-1.36703,0.503751,0.404972,0.409376,1.61417,1
-1.83179,8.74379,3.84577,2.41779,-1.40373,-0.833988,-0.453473,-0.598537,1
3.17372,7.44441,1.69095,1.40225,-0.968395,0.944713,-1.09787,-0.188755,1
5.95653,8.43998,-0.429819,1.37944,1.37875,-0.794947,0.231697,-0.90474,1
3.31814,11.0247,2.40707,2.46003,0.645668,-0.0817674,0.241489,0.538208,1
2.20293,3.29624,5.65352,2.56098,0.251743,1.48652,-0.897088,-0.246526,1
0.688213,8.27259,1.50905,4.69948,0.118506,-0.0256125,0.17932,-0.552638,1
-10.0791,4.04611,7.16105,-5.32282,-0.157613,0.0109119,1.03812,0.795034,1
-2.94268,9.31854,4.46626,1.61096,0.93379,0.531338,1.47926,1.50595,1
-3.23838,10.1329,1.93208,-4.07939,-0.705489,-1.52592,-1.10753,-0.259291,1
3.72485,1.99968,-0.45157,6.17583,-0.690588,1.01958,0.606583,-0.453291,1
2.65058,8.78344,8.03991,5.09332,0.224692,1.67401,-0.0882088,-0.593782,1
3.98258,10.5123,0.512167,6.29623,0.237911,0.935472,-0.328415,1.65788,1
-5.05896,5.3806,7.69485,0.726327,0.28111,0.560072,0.762917,-1.05969,1
4.94448,8.17899,-3.02749,4.54422,-0.546705,0.502719,0.075546,0.312697,1
0.730017,10.9834,1.00709,1.42247,-0.849678,2.28365,-0.72814,-0.756174,1
4.8671,8.80196,3.0659,4.19736,0.706344,1.47175,-0.901473,-0.444289,1
-6.16538,0.958837,3.68733,-1.83294,0.94379,-0.856805,-1.1398,1.5168,1
-2.93107,3.6444,1.18971,-4.59688,0.702628,0.84061,-0.859492,-2.21077,1
0.707549,9.73369,2.84682,4.68251,0.989752,1.03352,-0.421874,1.23566,1
2.80143,5.66248,4.91323,4.93054,-0.892782,-0.0660748,1.80357,-0.149112,1
-2.38821,5.00635,0.214494,3.00572,-0.387113,2.17315,-0.144801,-1.58236,1
2.66848,10.9285,-0.665568,-5.97454,-0.149234,0.0725528,-0.148536,0.736286,1
5.58383,4.36594,-3.11662,3.94702,2.02739,0.913175,0.20835,1.83168,1
-0.314313,-0.921742,4.27697,5.45246,0.319934,0.499462,-1.5039,0.114624,1
-2.48429,4.88234,-2.63573,-4.9305,0.757989,1.98181,-0.763652,-0.0523778,1
-0.232605,8.34332,9.92813,4.77089,0.632626,0.778663,-0.362269,-0.826021,1
-5.02557,3.13469,5.7229,3.02552,-1.14608,0.461574,2.06318,-0.474506,1
7.74998,11.0434,2.02115,-1.57033,-1.10284,-0.563379,-1.52136,0.162305,1
-3.5771,8.55299,3.74093,-0.420014,-0.967355,1.70114,1.04251,1.50377,1
-6.67015,7.76684,3.12406,-5.74548,0.0694161,-1.18425,0.00480091,-0.274215,1
-3.69674,-1.54873,6.48949,5.65453,-0.908031,-0.246082,-0.868268,1.06228,1
-2.5229,11.2066,2.35342,-1.07542,0.307384,0.885462,-0.745536,1.24323,1
2.83742,4.40326,0.404669,0.408623,0.449688,0.631668,0.366839,0.885035,1
-0.35564,0.997277,1.59497,-1.9452,-0.316162,0.0382899,-2.0612,-0.0347809,1
4.98866,8.89671,0.928409,2.39523,0.666098,1.88798,-1.96871,1.22202,1
12.9117,9.72313,-6.17315,2.79978,-0.227123,-1.48108,-1.11635,-2.04756,1
0.102288,3.2241,-0.474428,-4.12896,0.589576,1.03526,-2.39723,-0.412499,1
1.97447,8.35754,-0.210019,1.84854,-1.68594,0.272329,-2.33886,-0.731565,1
1.09582,9.04984,0.984661,1.91275,0.540768,-0.558751,0.629779,0.257906,1
4.37477,5.29167,2.32452,-1.24288,1.11298,-1.26977,0.735224,-0.244913,1
-2.79843,8.53736,0.610976,3.21703,-1.12945,2.06687,0.171571,-0.808594,1
-2.70608,6.96272,1.54057,-0.917473,0.0244676,-0.6885,-0.686924,2.65126,1
6.63129,8.31682,-2.71547,-1.96253,-0.18636,-0.934182,-1.14963,0.636213,1
2.81443,2.90171,3.7524,3.98911,-0.616428,0.117455,-1.62418,-0.683942,2
5.25019,6.08286,1.92175,4.59331,0.372387,-0.271051,-0.637427,1.23192,2
6.02743,5.57499,4.80949,1.8336,-0.960345,0.100903,0.245982,0.37699,2
5.5282,5.67409,2.78938,3.56066,0.0161344,0.985464,-0.582978,-0.180464,2
3.47893,3.80091,5.05974,6.16413,-2.31364,-0.708934,0.999264,-0.979571,2
8.13359,5.76505,3.92171,2.16789,0.821895,-2.02616,-0.0879702,-1.08181,2
4.47877,3.67633,4.87594,2.57962,1.50427,-0.373652,-0.463492,-1.29213,2
2.82645,2.94982,4.44648,4.90475,-1.33625,0.399276,-0.459557,0.712728,2
1.30101,2.82592,5.23608,3.51895,2.73603,-0.981982,0.298316,-0.910441,2
2.74134,4.07869,5.97293,3.46445,-0.477757,-1.41042,1.56541,-0.321682,2
5.68968,2.78077,7.4473,5.38998,0.533981,0.0589461,0.527425,0.939711,2
6.38925,3.67804,5.95164,4.3966,0.0274912,-0.319909,0.788834,0.84984,2
4.16145,2.06101,4.79586,4.60881,0.793729,0.571738,-2.1497,-0.199172,2
4.1578,4.34494,2.29352,2.58001,-0.953935,0.20373,1.55709,0.384352,2
1.7301,4.92639,-0.0317519,3.7649,1.23688,0.713735,0.397636,2.1444,2
4.13892,2.6736,3.68057,5.88944,1.10256,0.282637,0.767336,0.389149,2
3.84045,3.08595,3.91464,2.84046,-1.14229,-1.85193,-1.75802,1.13087,2
3.12089,3.06066,5.45925,4.29405,0.650779,-0.189647,1.13949,-1.43512,2
3.77064,6.15219,3.48379,2.45406,0.412072,-0.698503,-1.34705,0.445532,2
4.01552,3.38125,7.05622,4.79385,-0.478549,1.24299,1.53074,0.980829,2
3.68489,5.16871,0.784626,4.83256,-2.5135,-0.373521,-0.598192,-1.01189,2
5.88868,3.87092,2.33755,4.63139,0.47271,-1.17263,0.64534,-1.41523,2
2.85178,0.843333,6.21048,4.08577,0.964072,-0.74988,-1.11929,-1.60715,2
3.55281,3.95286,4.60212,6.30786,1.31795,-0.460307,0.221487,-1.09238,2
5.15078,3.93613,5.52316,3.69257,0.072123,-0.256147,-0.868885,1.44544,2
6.2384,4.94254,4.0555,3.76869,0.577734,-2.37986,-1.31337,1.34452,2
5.73566,5.61574,2.57291,3.55539,-1.04692,0.627689,1.25146,-0.132477,2
7.18075,5.44757,6.61106,3.34429,-0.47872,0.125901,1.01835,-1.2916,2
2.15207,3.97575,4.84207,4.76362,-0.96079,1.27059,-0.418302,-0.547531,2
1.38072,0.627103,7.10026,5.42422,1.3993,0.0594716,-0.788007,-1.72854,2
3.14073,1.30676,2.41029,5.84598,-1.36788,-0.523905,-0.419243,-1.61691,2
7.5635,5.93203,3.72562,3.51666,2.28841,-1.57624,-0.203123,0.845159,2
2.89102,2.19169,3.29893,6.45524,1.63749,1.90015,-0.287397,-0.150808,2
7.25917,5.19438,4.31744,3.96423,0.662205,1.17667,-2.09767,0.0667703,2
4.03718,5.34035,4.80341,2.11786,-0.114183,-0.218437,-0.761377,-0.91825,2
3.64714,2.50907,6.56853,5.01794,-0.748087,-0.565617,0.184253,0.618178,2
6.86297,5.00912,6.15702,4.65598,-1.70166,-0.645255,-0.955972,0.690792,2
3.79147,4.99971,2.21012,4.70959,-0.0539108,-0.11809,-1.54111,-0.282925,2
5.19005,3.26294,2.41072,3.61715,-2.45639,-2.50479,-1.03773,-0.169654,2
4.57415,4.69952,3.05805,3.7666,2.26048,0.899342,0.16873,-0.30227,2
6.63205,4.37553,5.21437,3.13941,-1.35897,-1.26192,-0.409631,0.0569015,2
3.06664,2.55387,4.71567,5.06047,-0.262405,1.62467,-1.08319,-0.980851,2
4.96454,3.89606,3.38795,2.36302,0.721232,1.65266,1.64616,-0.220339,2
1.62574,4.16452,2.51737,5.32535,-0.48383,-1.17308,1.34878,-2.63193,2
2.14485,2.96858,2.78227,5.66116,0.813699,-0.898065,0.305633,1.10289,2
3.89513,2.79382,6.43361,6.3814,1.64013,-0.249117,-0.451921,-0.401072,2
3.43131,4.36884,4.04723,4.19399,1.09531,0.974649,0.295829,0.880278,2
1.91645,2.43607,3.96406,5.37479,1.03442,0.294632,0.72714,-0.690524,2
2.45134,5.28644,0.337319,3.43559,0.102285,1.37329,-0.399388,-1.54272,2
3.62775,5.30512,3.68942,4.28692,1.30357,0.294019,-1.20093,0.656477,2
0.866457,6.1251,-0.551259,5.41322,1.01778,-0.723903,0.137493,1.31688,2
3.94433,3.45676,2.38189,6.32486,0.166857,0.459156,1.73617,-0.875732,2
1.95933,1.31586,2.39203,2.2939,-0.461873,-0.0559446,-0.496218,-0.122916,2
3.61867,4.26894,5.9571,3.58264,0.322258,0.386359,-0.734786,-1.02713,2
5.65208,3.18812,6.17418,1.61385,-0.563886,-0.877617,-0.85498,-2.53523,2
2.0054,2.95066,3.49102,4.39079,-0.82175,-1.25885,1.98876,-0.723158,2
3.80808,6.07077,1.51076,4.99975,1.60615,-1.78797,-0.0256169,2.42435,2
2.37058,1.7155,4.73883,4.04499,-0.431782,0.337632,-1.34648,-0.13666,2
5.55673,5.5404,3.92341,3.58106,-1.10336,0.455219,-0.319414,-0.666132,2
4.83343,3.54743,4.60245,2.61727,-0.470556,-0.166709,1.40156,0.542857,2
2.03239,5.78954,1.24503,2.8476,-0.531997,0.742126,1.03842,-0.220985,2
3.62557,2.6376,6.61582,3.77838,-1.41974,-0.961296,-0.0227629,0.643656,2
2.10643,3.02837,1.56709,4.42141,-1.57437,-2.06733,0.92926,0.921345,2
4.4766,3.57201,6.58785,4.21148,1.33358,-0.896394,0.370591,0.815005,2
1.1392,0.951309,2.0455,3.71135,-0.315409,-1.07922,-0.930201,1.44648,2
7.3354,4.07742,5.32363,3.27074,1.56667,0.414098,0.895709,1.06339,2
8.50708,4.12187,6.71083,4.1246,-0.158202,1.36449,-1.43138,-1.36856,2
4.23028,4.59475,3.17835,5.12523,0.0642024,-1.26097,1.30956,0.00286921,2
0.899532,3.41051,2.28708,4.82118,-1.46458,0.340171,0.608607,-0.418568,2
2.21613,4.76289,2.90672,5.10166,-0.152693,-1.58836,0.577868,1.35004,2
2.43881,1.66896,4.60249,6.85258,1.35871,0.297421,-0.889056,0.244585,2
4.74153,3.21894,4.34871,4.41949,-1.57751,0.131064,-0.230645,0.647066,2
3.25309,3.16249,4.6062,3.75405,0.123822,-0.340962,0.451612,-1.68914,2
2.95219,3.95806,4.0373,3.2365,1.42504,0.435697,2.33026,0.34828,2
6.53097,3.79091,4.85554,3.50897,0.262946,-0.130742,-0.427094,-0.262311,2
2.23688,4.17692,0.957037,5.20026,0.981924,0.136691,-0.967052,-0.26297,2
4.69611,4.54114,4.27452,4.189,-2.15865,-0.108408,1.21202,-1.23683,2
4.34983,5.46142,1.60434,5.07338,0.436082,-0.569363,-1.19433,0.624752,2
5.05831,5.43459,2.62919,3.06056,-0.466578,0.308317,-1.84311,2.5141,2
1.09686,1.14395,3.7823,6.45572,1.02007,-0.117401,0.816737,1.38217,2
0.43285,3.02939,4.80057,5.87786,-0.193329,-1.16323,-0.128321,0.317134,2
3.73367,1.52499,3.52217,5.35865,-0.433138,-0.563062,-0.124641,-0.346943,2
4.67373,4.56604,4.22168,3.94676,-0.667122,-0.246893,0.69403,-1.02544,2
4.39184,4.15638,7.89431,3.41787,-1.48298,-1.01727,-0.942482,-1.06016,2
3.84053,3.93465,3.18516,4.12392,-1.69372,0.365886,-2.72826,0.0407224,2
2.01466,3.72294,2.34173,3.2856,-0.266819,-0.993521,1.30338,-0.0376221,2
5.39192,2.64514,3.38926,4.50032,2.2399,-1.57594,0.266382,-1.68755,2
6.86557,2.94002,5.35241,3.01187,0.387373,0.732777,0.689776,-0.159778,2
2.64455,4.46879,-1.14927,5.45124,-0.355252,0.887428,1.15504,-1.5795,2
5.19642,5.65473,6.4711,4.45561,-0.353113,-0.259768,0.0977421,1.00155,2
1.83796,5.19012,1.7075,6.25113,-0.0421106,2.08522,-0.232735,-0.129786,2
3.0458,2.73317,3.71004,5.21565,0.405226,0.301242,-1.41769,1.09212,2
3.93272,5.61287,2.15538,3.5893,-1.95596,-0.27279,-0.511066,0.155907,2
2.06952,2.83434,7.47045,5.09517,-0.225078,0.313816,-1.0147,0.960327,2
3.59178,2.46471,3.87047,4.20396,1.45178,0.631845,-1.82497,0.378155,2
4.30365,4.44843,4.66212,3.48077,-0.0780583,0.059351,0.374577,-0.0748307,2
2.21798,2.03555,6.6388,6.18991,-1.35252,-1.48757,1.84002,0.261029,2
4.67574,6.41484,-1.51375,1.38793,0.161842,-1.67961,1.14663,1.86797,2
2.96337,2.13752,2.74734,3.6974,1.65999,-0.888606,-1.95007,-2.95132,2
6.12659,7.39755,2.17962,1.65696,-1.30069,0.963948,1.68152,-1.37809,2
2.1504,2.76329,1.61185,2.49708,0.231533,0.397918,-0.951836,-0.560794,2
3.80095,2.34186,9.53748,7.96127,0.350109,0.762228,0.638071,0.667375,2
3.86206,2.40845,11.8279,8.98481,0.528807,0.517289,-0.781824,0.883188,2
1.91962,-0.308382,12.0005,3.66762,1.32877,0.973415,0.949378,-2.20069,2
3.86308,3.96237,0.301816,3.31454,-1.28084,0.520678,0.0698404,0.819831,2
3.3267,1.53878,7.85273,4.90165,-1.3497,-1.27563,-0.0236117,-0.932144,2
4.31619,6.99074,2.08368,9.27157,0.0938823,-0.63395,-0.12467,0.41088,2
1.53294,0.0619173,6.63433,1.04534,-0.327524,-0.31046,-0.410708,-0.187858,2
1.07713,-0.813579,5.4324,1.32432,0.0900829,-0.420675,-0.601698,-0.83454,2
