W1,W2,W3,W4,W5,W6,W7,W8
0.571291,0.317135,0.704866,0.10122,0.925432,0.968252,0.999448,0.0499895
0.362886,0.348279,0.928123,0.226961,0.459128,0.492362,0.0481996,0.747464
0.66238,0.564412,0.0565321,0.578509,0.322038,0.192236,0.279754,0.520096
0.321318,0.344962,0.66963,0.501584,0.829015,0.594978,0.365932,0.406681
0.135696,0.519097,0.461085,0.287632,0.593331,0.772661,0.35787,0.583227
0.882714,0.335717,0.962872,0.531992,0.114754,0.551093,0.386273,0.864833
0.108447,0.167203,0.0871365,0.838979,0.0827329,0.170367,0.695715,0.0311065
0.789708,0.450013,0.804926,0.349345,0.407443,0.797889,0.731308,0.792496
0.591803,0.247723,0.217835,0.655903,0.254796,0.076612,0.400448,0.263904
0.915047,0.792774,0.252902,0.751185,0.750854,0.871109,0.681287,0.560021
0.828394,0.958131,0.124856,0.347345,0.985083,0.535977,0.984821,0.78794
0.000758848,0.475995,0.396597,0.990102,0.269285,0.0629155,0.291691,0.154395
0.659791,0.173227,0.80542,0.603715,0.409144,0.215221,0.953219,0.812339
0.20479,0.695546,0.0247729,0.00414628,0.219889,0.66228,0.459011,0.682407
0.88096,0.312807,0.805863,0.991774,0.789499,0.223275,0.449014,0.482797
0.303833,0.338103,0.39273,0.676896,0.532234,0.648273,0.23973,0.0372356
0.097685,0.180154,0.967063,0.675518,0.310038,0.11636,0.783443,0.876893
0.0886426,0.957627,0.945494,0.0233435,0.661464,0.111216,0.83945,0.512282
0.359996,0.229393,0.976624,0.82071,0.107632,0.874422,0.457253,0.237606
0.118987,0.745546,0.19354,0.302407,0.196314,0.318919,0.421304,0.0329042
0.52239,0.874717,0.72097,0.150128,0.148683,0.981872,0.641405,0.950793
0.597492,0.0983422,0.264438,0.279845,0.261579,0.975073,0.71519,0.10614
0.584279,0.0439076,0.566275,0.333179,0.830747,0.401495,0.814345,0.230909
0.24164,0.91959,0.174411,0.302734,0.117934,0.963307,0.0315111,0.381505
0.640003,0.921399,0.451895,0.518114,0.254735,0.111813,0.503079,0.856775
0.0122614,0.89569,0.498762,0.788724,0.747283,0.32029,0.880206,0.160755
0.89074,0.0976802,0.410752,0.337505,0.997583,0.997036,0.455689,0.523636
0.558936,0.890252,0.83368,0.591508,0.146297,0.66196,0.979166,0.736293
0.409323,0.196109,0.58701,0.565313,0.662485,0.409731,0.722731,0.85095
0.700732,0.651705,0.452941,0.222433,0.126667,0.211269,0.70155,0.317178
0.4643,0.218813,0.254202,0.777719,0.242823,0.953395,0.369972,0.549744
0.448,0.0843021,0.42802,0.404883,0.93967,0.523298,0.772314,0.160502
0.882226,0.461351,0.0452472,0.174746,0.139272,0.937832,0.095638,0.327227
0.977257,0.0654722,0.209537,0.305511,0.0910787,0.443394,0.144582,0.614106
0.59191,0.174998,0.236059,0.803944,0.0960473,0.0845396,0.0941049,0.927607
0.619609,0.149874,0.0319354,0.914126,0.796906,0.234492,0.603629,0.626811
0.688539,0.180001,0.274879,0.861292,0.13894,0.758111,0.247213,0.998823
0.00157434,0.814781,0.471801,0.926366,0.102643,0.430753,0.743373,0.0941076
0.0389417,0.748779,0.167472,0.803486,0.477299,0.600314,0.336649,0.0383094
0.775586,0.943599,0.969552,0.414793,0.0817299,0.54202,0.760349,0.0231382
0.920679,0.679995,0.317539,0.309697,0.592588,0.719043,0.831358,0.231553
0.647714,0.090816,0.437143,0.343149,0.147533,0.538765,0.749625,0.214244
0.629584,0.103831,0.722468,0.490533,0.906656,0.760281,0.322588,0.35317
0.573028,0.768554,0.661173,0.844856,0.349297,0.96076,0.805631,0.515753
0.620458,0.00158882,0.272257,0.102815,0.298004,0.568069,0.428631,0.927235
0.0794924,0.832574,0.51131,0.563256,0.453966,0.393819,0.510322,0.179034
0.184114,0.339095,0.980278,0.253278,0.685939,0.102203,0.143254,0.882021
0.353781,0.873496,0.184684,0.121741,0.035762,0.71799,0.92519,0.668084
0.119112,0.012443,0.140458,0.105694,0.672102,0.150534,0.460204,0.914528
0.864237,0.243527,0.899693,0.695393,0.732326,0.260242,0.263851,0.571386
0.40839,0.782242,0.207075,0.878373,0.113945,0.699815,0.795545,0.96333
0.828367,0.208354,0.0739081,0.982076,0.418524,0.582419,0.0594314,0.375807
0.371088,0.69838,0.786275,0.938618,0.680921,0.86702,0.155777,0.519694
0.864659,0.0876617,0.875073,0.499967,0.449477,0.346232,0.636727,0.191736
0.282896,0.826615,0.539626,0.575658,0.355276,0.779304,0.548983,0.733197
0.368461,0.43191,0.548006,0.506691,0.588609,0.178012,0.874282,0.423104
0.879877,0.308578,0.702346,0.948794,0.450249,0.528569,0.20651,0.505827
0.424777,0.837738,0.862768,0.0382878,0.702758,0.356872,0.131768,0.48073
0.0684103,0.456536,0.869143,0.178643,0.00175026,0.257358,0.718316,0.762517
0.938052,0.0814938,0.246967,0.653728,0.532256,0.706296,0.283371,0.555775
0.185926,0.10759,0.22538,0.189578,0.540509,0.765658,0.691385,0.386287
0.98296,0.982113,0.119051,0.0883759,0.742668,0.595451,0.193107,0.762691
0.159703,0.614597,0.159929,0.446264,0.889382,0.453843,0.604427,0.196619
0.863795,0.280727,0.902917,0.304549,0.25146,0.970217,0.633771,0.244338
0.641882,0.0566523,0.202455,0.476434,0.767437,0.826372,0.520425,0.72944
0.306201,0.393297,0.67043,0.349337,0.12764,0.2,0.307392,0.34311
0.0242073,0.174775,0.829284,0.372049,0.0380867,0.376238,0.340723,0.471018
0.94801,0.390516,0.292522,0.886352,0.404718,0.431649,0.0641304,0.413284
0.568934,0.393846,0.884804,0.389939,0.173507,0.911447,0.669481,0.534595
0.257725,0.187759,0.620728,0.191731,0.814108,0.964202,0.692908,0.936458
0.16664,0.357278,0.478734,0.134754,0.490896,0.548594,0.394864,0.966823
0.440345,0.298069,0.627107,0.459391,0.403943,0.339946,0.513188,0.650381
0.180331,0.0999942,0.496441,0.382866,0.925143,0.884788,0.486196,0.78677
0.0716151,0.559376,0.778406,0.831306,0.781108,0.701155,0.0255011,0.0491098
0.377772,0.177903,0.965168,0.301797,0.655817,0.983458,0.316854,0.67831
0.449411,0.134943,0.814707,0.843613,0.895205,0.949604,0.355959,0.206829
0.338726,0.20338,0.435461,0.945133,0.641662,0.816305,0.932941,0.385994
0.420727,0.011433,0.287335,0.00396963,0.408213,0.478743,0.273181,0.852711
0.163495,0.854607,0.795906,0.634411,0.278523,0.588163,0.284711,0.286075
0.154393,0.608384,0.0413059,0.914812,0.00936148,0.227089,0.356501,0.528801
0.91088,0.0337981,0.177141,0.00666776,0.211102,0.448055,0.207516,0.378786
0.216649,0.0816374,0.386643,0.127317,0.455742,0.54919,0.849824,0.949078
0.902906,0.824542,0.827792,0.722507,0.795122,0.6292,0.867304,0.355819
0.908094,0.694888,0.737445,0.804787,0.106256,0.531941,0.556015,0.220454
0.475671,0.0931014,0.630178,0.825589,0.677066,0.544917,0.840918,0.276471
0.409098,0.156394,0.140647,0.328249,0.167299,0.534589,0.544545,0.70898
0.980263,0.809594,0.92849,0.32488,0.470386,0.259939,0.483865,0.447113
0.718255,0.777935,0.51972,0.153749,0.0541881,0.167693,0.637025,0.731531
0.238947,0.199238,0.643833,0.285503,0.637851,0.731659,0.792033,0.0844725
0.202256,0.731263,0.952722,0.409558,0.239021,0.649584,0.803663,0.841452
0.69264,0.836135,0.820111,0.943168,0.21285,0.785765,0.430611,0.285585
0.0921172,0.947944,0.27488,0.536821,0.531142,0.195463,0.687966,0.00653483
0.886265,0.225489,0.145296,0.328547,0.0564158,0.393091,0.301544,0.756994
0.374619,0.609216,0.833496,0.95588,0.46743,0.229409,0.00113913,0.327334
0.653644,0.0382872,0.570556,0.823274,0.0403788,0.973453,0.00851256,0.00223792
0.455754,0.53234,0.418564,0.954018,0.879363,0.980299,0.934712,0.162063
0.372569,0.485986,0.872225,0.414649,0.949152,0.994399,0.115252,0.885907
0.541178,0.483147,0.0150939,0.132827,0.0393785,0.641161,0.254509,0.665975
0.605195,0.00589487,0.825647,0.493783,0.866974,0.785509,0.870896,0.216076
0.157816,0.0700144,0.206061,0.349414,0.628718,0.0351921,0.413808,0.603146
0.81331,0.568308,0.146694,0.0523152,0.777191,0.318259,0.763955,0.739879
0.27171,0.966977,0.412461,0.762358,0.468867,0.0886089,0.274658,0.955382
0.233462,0.768227,0.841443,0.491169,0.970418,0.602046,0.157674,0.341565
0.764535,0.976055,0.819509,0.168069,0.740791,0.41232,0.284227,0.79747
0.484215,0.236324,0.993132,0.331227,0.645531,0.678605,0.250241,0.192224
0.0585092,0.345668,0.673013,0.803033,0.966321,0.35009,0.102518,0.587196
0.167544,0.855281,0.0938844,0.167114,0.555355,0.00235017,0.305797,0.895342
0.994411,0.0692527,0.162068,0.583909,0.683778,0.997748,0.390077,0.926183
0.790799,0.555182,0.888172,0.0380132,0.958724,0.941784,0.706698,0.608705
0.493101,0.671945,0.0822468,0.395979,0.318908,0.582645,0.266005,0.61275
0.740041,0.49474,0.102654,0.351828,0.767413,0.374937,0.972982,0.812279
0.144409,0.654003,0.459595,0.0861707,0.636834,0.391588,0.465992,0.948679
0.0410362,0.204139,0.260302,0.0947938,0.0217415,0.562025,0.389474,0.791374
0.15096,0.184433,0.200471,0.515025,0.0914759,0.979102,0.366218,0.885039
0.754061,0.859333,0.245491,0.309565,0.778968,0.632901,0.121773,0.347805
0.272492,0.0230401,0.683107,0.63343,0.0287673,0.7843,0.397795,0.902656
0.157194,0.230003,0.649226,0.175666,0.11566,0.938975,0.838766,0.685754
0.271861,0.778231,0.386444,0.377143,0.0686614,0.136141,0.948229,0.852886
0.10574,0.449144,0.980439,0.825272,0.372566,0.654944,0.581442,0.661943
0.105214,0.521781,0.203391,0.523232,0.121957,0.749321,0.703589,0.643531
0.520562,0.757234,0.642957,0.252004,0.0419631,0.77562,0.244837,0.419342
0.207046,0.647824,0.467552,0.219552,0.590504,0.0856928,0.945227,0.632023
0.114773,0.750606,0.439334,0.873392,0.981042,0.329178,0.272702,0.101457
0.769981,0.667845,0.323775,0.136564,0.92779,0.540436,0.487696,0.152221
0.886069,0.41675,0.686358,0.0169685,0.260025,0.571603,0.512334,0.408914
0.132409,0.117224,0.25458,0.696313,0.230502,0.877971,0.297377,0.213644
0.74886,0.314524,0.128172,0.537912,0.934218,0.0356723,0.473575,0.721542
0.45219,0.128051,0.166392,0.203573,0.913449,0.011864,0.00965717,0.215425
0.729988,0.703822,0.0183518,0.026433,0.997974,0.196024,0.445464,0.0332203
0.751638,0.684276,0.127359,0.902626,0.665504,0.362909,0.134685,0.331161
0.745713,0.0400654,0.216198,0.940303,0.556229,0.147588,0.976264,0.294842
0.771269,0.873486,0.639561,0.986111,0.850379,0.163192,0.423758,0.202445
0.751176,0.650406,0.439016,0.103814,0.72811,0.0618664,0.394988,0.234185
0.731831,0.97608,0.261088,0.563536,0.242091,0.358515,0.570613,0.491744
0.390116,0.215371,0.860595,0.439331,0.724933,0.986169,0.085431,0.664904
0.996447,0.224969,0.0694833,0.537826,0.239761,0.733288,0.260689,0.249015
0.0314683,0.619948,0.532979,0.756811,0.199789,0.732144,0.0122214,0.14092
0.776873,0.397841,0.895559,0.401272,0.464037,0.798682,0.684502,0.543706
0.899296,0.537661,0.555004,0.306435,0.460016,0.816723,0.699748,0.10036
0.239899,0.385139,0.871732,0.548376,0.462511,0.647003,0.313063,0.243801
0.027984,0.259889,0.475228,0.414611,0.46129,0.10304,0.647666,0.0715454
0.948546,0.679614,0.718283,0.528822,0.671063,0.526226,0.574374,0.614752
0.449777,0.721778,0.545433,0.291506,0.230267,0.277395,0.89684,0.0789606
0.104838,0.277938,0.24604,0.487383,0.494464,0.714637,0.0231258,0.523332
0.33586,0.0196733,0.785277,0.877708,0.870731,0.228481,0.436338,0.49487
0.761315,0.68288,0.484955,0.236187,0.441017,0.136454,0.966973,0.148945
0.381492,0.429965,0.511663,0.71719,0.558459,0.258437,0.749051,0.309021
0.591489,0.342158,0.936553,0.310458,0.0238928,0.219949,0.518717,0.18029
0.505249,0.104027,0.377658,0.709034,0.565071,0.538461,0.432199,0.939966
0.791723,0.228119,0.155523,0.0609114,0.320371,0.640155,0.921804,0.832978
0.694714,0.103678,0.340273,0.958328,0.479903,0.561331,0.317276,0.640392
0.74149,0.52525,0.0290104,0.47627,0.95818,0.961713,0.329914,0.681877
0.960587,0.00593441,0.704254,0.225085,0.0857239,0.762855,0.411163,0.638693
0.579125,0.210703,0.730819,0.497724,0.937517,0.060806,0.00706077,0.0940846
0.964436,0.345486,0.0879193,0.403355,0.782763,0.60798,0.220935,0.134665
0.997907,0.0350945,0.0116458,0.757161,0.401178,0.184714,0.186487,0.319781
0.270116,0.95934,0.702911,0.58618,0.0478272,0.494468,0.196289,0.227413
0.577721,0.686207,0.500771,0.426035,0.174734,0.250317,0.279658,0.867931
0.0935311,0.628585,0.240372,0.95825,0.916736,0.432453,0.725115,0.218624
0.10228,0.529558,0.523726,0.0413599,0.632048,0.506274,0.310957,0.231441
0.756045,0.419532,0.41859,0.212263,0.374531,0.0542055,0.208063,0.56655
