X,Y,class
-0.325579,7.70842,1
7.94422,16.9951,1
7.25216,18.2278,1
-3.80832,10.4878,1
-2.68981,3.54393,1
0.18916,9.30717,1
-1.20114,11.0586,1
-2.29923,11.4175,1
-0.429278,14.4316,1
-3.57632,14.3692,1
-1.00484,12.551,1
7.86538,2.35121,1
3.50474,19.5738,1
-1.51245,11.7058,1
3.25616,11.3665,1
5.93253,16.6255,1
-4.67787,12.478,1
-2.42774,12.645,1
3.46516,15.7782,1
5.28738,12.6185,1
-5.36708,19.0836,1
-1.14159,16.6802,1
1.66465,11.8939,1
5.84504,10.147,1
-2.02574,17.7472,1
-4.5099,21.6811,1
3.40213,15.1462,1
0.622107,17.0196,1
-2.01752,11.3302,1
9.93853,8.60255,1
-0.738855,14.3399,1
1.111,18.645,1
2.58251,13.947,1
-6.62841,14.172,1
-0.946778,13.3819,1
-5.58912,14.7754,1
-5.69063,17.3972,1
-0.738336,1.14631,1
6.31255,11.8372,1
-3.45021,11.7411,1
0.538102,12.8934,1
0.128271,7.59655,1
-7.09726,13.717,1
-1.60749,12.303,1
2.27353,6.36164,1
-6.11907,20.5875,1
-0.5082,13.5665,1
0.649138,15.8608,1
2.80114,13.2114,1
-1.79166,13.7014,1
11.7925,12.9138,1
1.3292,9.92822,1
-0.298946,16.0111,1
3.79533,16.3862,1
5.88895,4.9818,1
-2.368,7.7614,1
4.94938,7.75242,1
0.933768,2.57182,1
-0.681575,5.44937,1
3.73389,14.5965,1
-3.18676,10.1082,1
3.50895,10.2376,1
-4.00986,13.7423,1
2.47413,7.47427,1
1.53911,8.67715,1
3.75346,8.10557,1
4.52866,17.0997,1
-2.67366,11.5759,1
6.97007,17.3816,1
-5.54371,15.4305,1
6.04891,14.0519,1
3.92497,12.2144,1
-2.04252,16.0309,1
-4.31662,6.23968,1
-4.9482,18.508,1
-0.86323,11.5324,1
1.76836,9.93617,1
6.59504,14.2015,1
0.568429,11.5815,1
-1.7395,12.8993,1
0.443985,19.8297,1
-6.43274,14.5777,1
-9.54169,6.18771,1
-0.11255,17.2278,1
-2.82873,19.3152,1
-2.41561,13.0246,1
2.15169,14.9571,1
8.94837,4.90596,1
2.75344,14.6684,1
10.3032,18.0243,1
2.90524,11.0404,1
-0.82092,15.2969,1
2.97815,20.9703,1
-4.7332,11.3844,1
13.1938,11.593,1
-7.819,-1.00027,2
-4.51739,-4.33096,2
-18.5033,6.75532,2
-18.6543,5.85675,2
-18.1583,6.51529,2
-15.3956,2.49505,2
-15.0048,5.98665,2
-18.5259,5.34052,2
0.0277445,-5.96611,2
-23.3076,8.01907,2
-9.90102,-2.74754,2
-4.06808,-0.227026,2
-9.83285,0.379676,2
-11.217,-0.0482218,2
-7.57434,-1.18405,2
-12.0275,1.22072,2
-0.497998,-5.30777,2
-9.01413,-1.16882,2
-16.945,4.08597,2
-8.22016,-1.51207,2
-12.1604,0.488466,2
-6.88974,-2.72074,2
-5.97427,-2.32025,2
-7.79851,0.267455,2
-20.311,4.86829,2
-9.16225,0.676433,2
-13.793,4.81785,2
-7.34948,-2.02583,2
-9.28948,0.560457,2
-2.09471,-4.9206,2
-13.1789,-0.676563,2
-17.7492,5.77019,2
-6.85344,-2.77868,2
-17.0551,4.08547,2
-9.84059,-1.23197,2
-17.2648,5.13793,2
-7.2419,-0.657621,2
-16.0088,2.97256,2
-4.43762,-3.44346,2
-5.8943,-2.85171,2
-8.42672,0.237506,2
-15.0324,4.22381,2
-10.5486,0.416111,2
-7.19224,-1.08683,2
-11.1746,0.414074,2
-0.476764,-5.27766,2
-9.92879,-0.752912,2
-12.5551,2.75879,2
-19.7995,6.22902,2
-9.85904,0.254014,2
-7.91722,0.0903038,2
-13.5782,2.73549,2
-12.7385,1.61068,2
-20.2992,7.16417,2
-7.14669,-1.12471,2
-21.2142,7.99446,2
-10.7442,0.214386,2
-15.5665,2.86663,2
-9.07841,0.936129,2
-8.52378,-1.02629,2
-4.44972,-2.86612,2
-0.40436,-8.05179,2
-11.9961,1.80498,2
-10.2341,2.30421,2
-19.8792,6.30857,2
-11.9158,1.53129,2
-5.32395,-1.61339,2
-11.4941,2.90773,2
-19.6831,6.76338,2
-7.00084,-0.0425409,2
-3.05135,-4.12658,2
-11.4114,-0.276401,2
-2.61894,-4.71071,2
-12.1504,2.11407,2
-4.04424,-3.26806,2
-2.75898,-4.26535,2
-7.9216,-0.97703,2
-11.4539,2.01436,2
-12.028,1.56459,2
-8.26731,-3.23191,2
1.13054,-6.93704,2
-13.0581,1.69382,2
-13.6144,3.54722,2
-15.9611,3.60218,2
-20.8402,5.23546,2
-16.2629,3.6767,2
-20.1452,6.94131,2
3.32263,-6.1265,2
1.91179,-6.90979,2
-1.55732,-4.69846,2
-1.05904,-4.57166,2
-13.5325,4.30761,2
-18.0282,8.20135,2
-6.40286,-2.36719,2
-11.5006,-0.811109,2
-14.8575,3.42057,2
-8.90477,-0.557642,2
-7.91915,-1.38371,2
-3.89694,-5.62877,2
-13.3187,0.764051,2
4.36397,6.39585,2
-11.9817,-7.60179,2
-5.17397,-1.12955,2
3.77395,5.32001,2
-0.375158,2.8644,2
-0.237473,1.94525,2
3.40824,6.36625,2
-2.2985,-0.282503,2
3.52181,3.40089,2
-2.04988,0.945778,2
4.30014,3.95208,2
6.20548,6.4571,2
1.76031,4.29541,2
8.60793,7.88723,2
-17.9155,-10.6416,2
8.33622,7.96353,2
5.81689,6.32239,2
2.91344,3.65288,2
-1.33146,-0.387046,2
9.73009,8.79644,2
23.609,20.3021,2
4.6879,4.22871,2
8.58356,11.7687,2
-3.92668,2.21671,2
-13.0796,-9.11254,2
3.77997,5.18687,2
-1.87017,-0.0395603,2
3.71003,3.72799,2
1.72743,1.17011,2
-10.2118,-4.31827,2
2.05939,4.21109,2
3.80142,5.03129,2
-2.60702,0.422732,2
5.98842,5.08757,2
6.36782,5.50445,2
-14.842,-9.89741,2
-2.40021,1.42541,2
-11.2194,-7.73706,2
5.92169,6.58852,2
5.07848,5.71142,2
-2.13141,-1.46291,2
-7.61796,-3.43586,2
11.3851,12.2813,2
-8.25954,-3.91435,2
-1.60926,0.187115,2
9.04315,9.00301,2
-3.5323,0.768319,2
15.3767,13.4847,2
-3.5523,-0.935775,2
0.930263,2.20338,2
-7.08106,-6.67576,2
6.87842,7.13392,2
-3.899,-0.335365,2
-6.58253,-3.81398,2
-8.28993,-4.12409,2
-2.10336,1.37193,2
0.631097,3.29923,2
9.01688,7.73646,2
-4.58252,-3.04818,2
-8.87812,-2.81757,2
5.0365,4.16634,2
-3.09286,0.247548,2
9.16621,8.70669,2
1.63169,1.21105,2
8.60408,10.2613,2
6.00282,5.53465,2
-3.80593,0.189827,2
14.6028,15.6146,2
0.624879,2.03297,2
-1.48854,1.67146,2
-0.619446,2.37417,2
13.713,11.042,2
1.43559,1.51291,2
9.13918,9.43964,2
0.877041,5.60647,2
14.8637,13.0056,2
-7.89249,-4.66908,2
4.04395,4.1675,2
11.7286,12.3604,2
6.45899,4.60629,2
2.69664,3.81364,2
3.87334,4.79483,2
13.9224,13.0541,2
-10.204,-8.4806,2
2.03963,4.39124,2
5.86468,6.24131,2
6.10589,9.2297,2
10.2525,11.2661,2
-24.3726,-15.7321,2
9.20683,9.5404,2
1.95147,3.96874,2
-7.31335,-2.41058,2
16.1581,14.9353,2
2.26319,6.86513,2
5.97758,7.65447,2
7.41295,8.61378,2
-11.549,-5.85403,2
-10.4946,-6.73698,2
8.00302,7.99903,2
5.86338,9.31971,2
14.1282,-3.37018,2
-15.841,17.8492,2
3.28422,-15.238,2
10.4312,-4.79845,2
-4.13265,-1.58869,2
-22.402,8.29848,2
-10.3929,-25.675,2
2.02687,-3.84844,2
1.7069,-3.98649,2
-8.05324,7.14365,2
21.3313,35.798,2
-43.211,23.5686,2
-7.96523,15.605,2
-5.90852,24.0437,2
11.1388,-10.8649,2
-6.95735,10.1379,2
26.6455,3.39277,2
-0.510191,20.9318,2
23.7042,-2.69358,2
12.0131,0.597979,2
14.907,7.93308,2
20.6973,17.3518,2
16.2012,-24.45,2
2.28194,1.27476,2
13.7904,-11.0162,2
-2.76459,19.0716,2
-14.6706,9.98576,2
0.9688,-48.5375,2
2.22368,-21.232,2
-35.5923,32.2226,2
-36.9129,6.76077,2
21.6285,11.04,2
25.2153,-23.0263,2
-19.63,-26.2101,2
5.90248,1.37244,2
-17.3331,25.7828,2
10.0182,-7.77744,2
21.7098,20.2989,2
-9.08293,-32.3604,2
-23.7395,8.31615,2
-5.22297,-25.476,2
28.4245,11.5744,2
19.9418,10.659,2
-12.519,-8.22969,2
4.53198,-17.7959,2
13.192,-28.3764,2
-1.28412,10.2213,2
11.5386,13.1896,2
-4.80016,-4.44511,2
-6.25906,-37.2519,2
5.33798,4.50515,2
16.5609,7.1092,2
-22.5553,13.4497,2
1.46308,6.78162,2
7.12481,-11.1676,2
-42.9781,-0.481989,2
9.25917,-46.8916,2
-15.8197,7.90191,2
7.04911,22.1415,2
0.880784,-4.60356,2
26.084,-20.2483,2
-0.568848,-3.5914,2
-22.9844,-55.6438,2
-2.77256,-26.2134,2
-32.1333,21.8822,2
-3.5596,-4.9878,2
18.2191,1.25825,2
5.40815,18.4326,2
-37.9729,1.06501,2
-10.9405,-13.7201,2
16.252,8.96259,2
-25.4114,0.539589,2
17.3924,26.3485,2
29.3862,-43.4392,2
-17.7746,-13.3852,2
5.25906,-23.2949,2
8.71039,27.2681,2
-13.6732,5.01578,2
-1.25464,-20.9539,2
-24.9832,22.2124,2
-20.2851,-27.5106,2
-9.77754,34.1753,2
13.2627,4.09902,2
16.9438,3.42574,2
31.2661,-4.64317,2
-10.6487,-11.8807,2
6.40777,7.25121,2
-5.43636,-7.61493,2
-8.52439,16.9577,2
-16.1913,-5.53163,2
15.148,-17.5261,2
26.353,-11.9229,2
10.6349,-1.88207,2
9.06116,8.24958,2
15.1143,15.498,2
-3.65608,-6.00711,2
17.8772,0.931814,2
-4.65265,-10.6802,2
-13.1051,33.5491,2
-2.85979,5.626,2
